UnitPrice,SalesQuantity,ReturnQuantity,ProductDivision,ERPMasterGender,MainColorGroupDesc,USSize,OverallRating,ComfortRating,SizeRating,WidthRating,ReviewsCount,ReturnRate
24,17,1,Apparel,MNS,black,L,5,3.970830217,2.953835227,2.950917797,1,0.06
27.72,91,1,Apparel,MNS,gray,XL,5,3.970830217,2.953835227,2.950917797,1,0.01
10.17,21,1,Apparel,WNS,white,S,3,5,3,3,2,0.05
11.37,18,1,Apparel,WNS,white,XL,3,5,3,3,2,0.06
9.99,4,1,Apparel,WNS,black,XL,5,5,3,5,2,0.25
9.78,11,1,Apparel,WNS,black,M,5,5,3,5,2,0.09
12.42,14,2,Apparel,WNS,white,M,5,5,3,5,2,0.14
21.95,124,3,Apparel,MNS,green,M,4.040326087,3.970830217,2.953835227,2.950917797,0,0.02
22.51,69,1,Apparel,MNS,green,XXL,4.040326087,3.970830217,2.953835227,2.950917797,0,0.01
66.5,2,1,Footwear,MNS,black,7,3.1,3.4,2.7,2.5,16,0.5
70,4,1,Footwear,MNS,black,14,3.1,3.4,2.7,2.5,16,0.25
70,6,1,Footwear,MNS,white,9,3.5,2,3,2.4,11,0.17
69.1,5,1,Footwear,MNS,white,11,3.5,2,3,2.4,11,0.2
49,2,1,Footwear,MNS,white,12,3.5,2,3,2.4,11,0.5
70,13,1,Footwear,MNS,white,13,3.5,2,3,2.4,11,0.08
70,10,2,Footwear,MNS,white,8,3.5,2,3,2.4,11,0.2
67.67,12,1,Footwear,MNS,white,8.5,3.5,2,3,2.4,11,0.08
68.6,15,1,Footwear,MNS,white,10,3.5,2,3,2.4,11,0.07
70,10,2,Footwear,MNS,white,10.5,3.5,2,3,2.4,11,0.2
63.64,11,2,Footwear,MNS,white,11,3.5,2,3,2.4,11,0.18
70,4,1,Footwear,MNS,white,10.5,3.5,2,3,2.4,11,0.25
55,6,1,Footwear,KIDS,black,7,4.040326087,3.970830217,2.953835227,2.950917797,0,0.17
41.62,6,1,Footwear,KIDS,white,6,4.040326087,3.970830217,2.953835227,2.950917797,0,0.17
48,5,2,Footwear,KIDS,white,12,5,4,3,3,1,0.4
50,4,1,Footwear,KIDS,black,11,5,4,3,3,1,0.25
50,4,1,Footwear,KIDS,black,1,5,4,3,3,1,0.25
